OBJECTID,DPA_AGENCY,DPA_GROUP,RESPOND_ID,NWCG_UNITID,AGREEMENTS,COST_APPOR,COMMENTS,Shape__Area,Shape__Length
361,LOCAL,LOCAL,LOCAL,,,LOCAL,Escondido annex 8/7/15,122103.483810425,2175.49278152565
362,LOCAL,LOCAL,LOCAL,,,LOCAL,Fort Bragg incorporated/LRA parcels,335581.089408875,4446.62996734657
363,LOCAL,LOCAL,LOCAL,,,LOCAL,Fortuna annex 10/6/15,150537.780860901,1621.06854194004
364,LOCAL,LOCAL,LOCAL,,,LOCAL,Grass Valley annex 7/15/15,129188.408527374,1623.64555307106
365,LOCAL,LOCAL,LOCAL,,,LOCAL,Hemet annex 3/1/16,723465.576225281,6956.44911469377
366,LOCAL,LOCAL,LOCAL,,,LOCAL,Lincoln annex 8/15/16,1635253.00487041,14475.5959807381
367,LOCAL,LOCAL,LOCAL,,,LOCAL,Los Gatos annex 3/30/15,1929.82134914398,272.773471632016
368,LOCAL,LOCAL,LOCAL,,,LOCAL,"NJC_20140306_0927; Changed RESPOND_ID to LOCAL.",47874193254.296,41873045.2294088
369,LOCAL,LOCAL,LOCAL,,,LOCAL,Oroville annex 1/13/15,884.293977737427,119.885805279448
370,LOCAL,LOCAL,LOCAL,,,LOCAL,Oroville annex 8/10/15,297474.930469513,3902.81393154424
371,LOCAL,LOCAL,LOCAL,,,LOCAL,Rialto annexes 7/25/16,4573876.14209747,20704.6490802005
